"時点","地域コード","地域","総人口（総数）【人】","注記","完全失業率（男女計）【%】","注記","景気動向指数（一致）2020年基準","注記","国内総生産（支出側）（名目）2020年基準【10億円】","注記","県内総生産（名目）2015年基準【百万円】","注記"
"2000年1月","00000","全国","126746000","","4.6","","103.5","","","","",""
"2000年2月","00000","全国","126794000","","4.9","","104.5","","","","",""
"2000年3月","00000","全国","126714000","","5.2","","105.4","","","","",""
"2000年4月","00000","全国","126758000","","5.1","","106.4","","","","",""
"2000年5月","00000","全国","126737000","","4.8","","106.5","","","","",""
"2000年6月","00000","全国","126826000","","4.7","","107.7","","","","",""
"2000年7月","00000","全国","126843000","","4.5","","107.5","","","","",""
"2000年8月","00000","全国","126770000","","4.6","","108.9","","","","",""
"2000年9月","00000","全国","126837000","","4.7","","107.8","","","","",""
"2000年10月","00000","全国","126925843","総務省統計局「国勢調査」による。","4.6","","109.5","","","","",""
"2000年11月","00000","全国","126998000","","4.5","","109.7","","","","",""
"2000年12月","00000","全国","127027000","","4.4","","110.7","","","","",""
"2001年1月","00000","全国","126912000","","4.7","","108.0","","","","",""
"2001年2月","00000","全国","127050000","","4.8","","107.9","","","","",""
"2001年3月","00000","全国","126980000","","5.1","","106.4","","","","",""
"2001年4月","00000","全国","127052000","","5.1","","105.4","","","","",""
"2001年5月","00000","全国","127011000","","5.1","","104.0","","","","",""
"2001年6月","00000","全国","127125000","","5.0","","103.6","","","","",""
"2001年7月","00000","全国","127149000","","4.9","","102.2","","","","",""
"2001年8月","00000","全国","127069000","","5.0","","100.4","","","","",""
"2001年9月","00000","全国","127131000","","5.3","","99.0","","","","",""
"2001年10月","00000","全国","127316000","","5.2","","98.4","","","","",""
"2001年11月","00000","全国","127396000","","5.2","","97.5","","","","",""
"2001年12月","00000","全国","127397000","","5.0","","97.2","","","","",""
"2002年1月","00000","全国","127261000","","5.2","","97.3","","","","",""
"2002年2月","00000","全国","127343000","","5.4","","98.3","","","","",""
"2002年3月","00000","全国","127272000","","5.7","","99.0","","","","",""
"2002年4月","00000","全国","127371000","","5.6","","99.6","","","","",""
"2002年5月","00000","全国","127350000","","5.6","","102.2","","","","",""
"2002年6月","00000","全国","127418000","","5.5","","101.6","","","","",""
"2002年7月","00000","全国","127445000","","5.2","","102.1","","","","",""
"2002年8月","00000","全国","127362000","","5.4","","103.2","","","","",""
"2002年9月","00000","全国","127405000","","5.4","","103.7","","","","",""
"2002年10月","00000","全国","127486000","","5.4","","103.6","","","","",""
"2002年11月","00000","全国","127527000","","5.1","","104.3","","","","",""
"2002年12月","00000","全国","127564000","","5.0","","103.5","","","","",""
"2003年1月","00000","全国","127400000","","5.4","","104.1","","","","",""
"2003年2月","00000","全国","127563000","","5.3","","105.1","","","","",""
"2003年3月","00000","全国","127468000","","5.8","","105.1","","","","",""
"2003年4月","00000","全国","127623000","","5.8","","104.3","","","","",""
"2003年5月","00000","全国","127672000","","5.6","","104.9","","","","",""
"2003年6月","00000","全国","127733000","","5.3","","105.2","","","","",""
"2003年7月","00000","全国","127718000","","5.1","","105.7","","","","",""
"2003年8月","00000","全国","127643000","","5.0","","105.9","","","","",""
"2003年9月","00000","全国","127645000","","5.2","","107.8","","","","",""
"2003年10月","00000","全国","127694000","","5.1","","110.0","","","","",""
"2003年11月","00000","全国","127704000","","5.0","","109.4","","","","",""
"2003年12月","00000","全国","127750000","","4.5","","111.4","","","","",""
"2004年1月","00000","全国","127603000","","4.9","","112.9","","","","",""
"2004年2月","00000","全国","127739000","","5.0","","112.7","","","","",""
"2004年3月","00000","全国","127675000","","5.0","","112.8","","","","",""
"2004年4月","00000","全国","127736000","","5.0","","114.0","","","","",""
"2004年5月","00000","全国","127654000","","4.8","","113.9","","","","",""
"2004年6月","00000","全国","127768000","","4.6","","114.6","","","","",""
"2004年7月","00000","全国","127761000","","4.8","","116.0","","","","",""
"2004年8月","00000","全国","127703000","","4.7","","114.9","","","","",""
"2004年9月","00000","全国","127730000","","4.6","","115.0","","","","",""
"2004年10月","00000","全国","127787000","","4.7","","114.4","","","","",""
"2004年11月","00000","全国","127819000","","4.4","","115.8","","","","",""
"2004年12月","00000","全国","127838000","","4.1","","114.6","","","","",""
"2005年1月","00000","全国","127740000","","4.5","","115.6","","","","",""
"2005年2月","00000","全国","127793000","","4.7","","114.5","","","","",""
"2005年3月","00000","全国","127714000","","4.8","","115.7","","","","",""
"2005年4月","00000","全国","127791000","","4.7","","117.1","","","","",""
"2005年5月","00000","全国","127647000","","4.6","","115.9","","","","",""
"2005年6月","00000","全国","127780000","","4.2","","116.4","","","","",""
"2005年7月","00000","全国","127773000","","4.3","","115.8","","","","",""
"2005年8月","00000","全国","127729000","","4.2","","116.6","","","","",""
"2005年9月","00000","全国","127734000","","4.2","","116.9","","","","",""
"2005年10月","00000","全国","127767994","総務省統計局「国勢調査」による。","4.5","","117.3","","","","",""
"2005年11月","00000","全国","127792000","","4.4","","118.2","","","","",""
"2005年12月","00000","全国","127795000","","4.0","","118.9","","","","",""
"2006年1月","00000","全国","127781000","","4.5","","119.5","","","","",""
"2006年2月","00000","全国","127776000","","4.2","","119.9","","","","",""
"2006年3月","00000","全国","127761000","","4.4","","120.3","","","","",""
"2006年4月","00000","全国","127788000","","4.3","","120.8","","","","",""
"2006年5月","00000","全国","127777000","","4.1","","121.1","","","","",""
"2006年6月","00000","全国","127825000","","4.1","","121.3","","","","",""
"2006年7月","00000","全国","127854000","","4.0","","121.7","","","","",""
"2006年8月","00000","全国","127876000","","4.1","","122.1","","","","",""
"2006年9月","00000","全国","127862000","","4.2","","121.8","","","","",""
"2006年10月","00000","全国","127901000","","4.2","","122.3","","","","",""
"2006年11月","00000","全国","127925000","","3.9","","122.2","","","","",""
"2006年12月","00000","全国","127935000","","3.7","","122.1","","","","",""
"2007年1月","00000","全国","127925000","","4.0","","122.2","","","","",""
"2007年2月","00000","全国","127938000","","4.1","","122.3","","","","",""
"2007年3月","00000","全国","127908000","","4.2","","121.7","","","","",""
"2007年4月","00000","全国","127942000","","4.0","","122.7","","","","",""
"2007年5月","00000","全国","127925000","","3.8","","123.3","","","","",""
"2007年6月","00000","全国","127971000","","3.6","","123.0","","","","",""
"2007年7月","00000","全国","128001000","","3.5","","122.0","","","","",""
"2007年8月","00000","全国","128024000","","3.7","","123.3","","","","",""
"2007年9月","00000","全国","127997000","","4.0","","121.9","","","","",""
"2007年10月","00000","全国","128033000","","4.0","","122.8","","","","",""
"2007年11月","00000","全国","128047000","","3.7","","121.7","","","","",""
"2007年12月","00000","全国","128050000","","3.5","","121.9","","","","",""
