"時点","地域コード","地域","完全失業率（男女計）【%】","注記","日経平均株価【円】","注記","消費者物価指数（総合）2020年基準","注記","景気動向指数（先行）2020年基準","注記"
"2000年1月","00000","全国","4.6","","19539.70","","97.4","","101.8",""
"2000年2月","00000","全国","4.9","","19959.52","","97.1","","102.0",""
"2000年3月","00000","全国","5.2","","20337.32","","97.3","","101.2",""
"2000年4月","00000","全国","5.1","","17973.70","","97.5","","102.5",""
"2000年5月","00000","全国","4.8","","16332.45","","97.6","","102.5",""
"2000年6月","00000","全国","4.7","","17411.05","","97.4","","103.2",""
"2000年7月","00000","全国","4.5","","15727.49","","97.1","","103.5",""
"2000年8月","00000","全国","4.6","","16861.26","","97.4","","104.1",""
"2000年9月","00000","全国","4.7","","15747.26","","97.3","","104.4",""
"2000年10月","00000","全国","4.6","","14539.60","","97.3","","104.4",""
"2000年11月","00000","全国","4.5","","14648.51","","97.0","","104.4",""
"2000年12月","00000","全国","4.4","","13785.69","","97.1","","104.8",""
"2001年1月","00000","全国","4.7","","13843.55","","97.1","","101.7",""
"2001年2月","00000","全国","4.8","","12883.54","","96.8","","101.2",""
"2001年3月","00000","全国","5.1","","12999.70","","96.7","","99.8",""
"2001年4月","00000","全国","5.1","","13934.32","","96.8","","98.7",""
"2001年5月","00000","全国","5.1","","13262.14","","96.9","","98.9",""
"2001年6月","00000","全国","5.0","","12969.05","","96.7","","97.5",""
"2001年7月","00000","全国","4.9","","11860.77","","96.4","","96.2",""
"2001年8月","00000","全国","5.0","","10713.51","","96.7","","95.1",""
"2001年9月","00000","全国","5.3","","9774.68","","96.6","","92.7",""
"2001年10月","00000","全国","5.2","","10366.34","","96.6","","91.7",""
"2001年11月","00000","全国","5.2","","10697.44","","96.1","","92.4",""
"2001年12月","00000","全国","5.0","","10542.62","","96.0","","92.2",""
"2002年1月","00000","全国","5.2","","9997.80","","95.8","","93.7",""
"2002年2月","00000","全国","5.4","","10587.83","","95.3","","94.2",""
"2002年3月","00000","全国","5.7","","11024.94","","95.5","","96.6",""
"2002年4月","00000","全国","5.6","","11492.54","","95.8","","98.2",""
"2002年5月","00000","全国","5.6","","11763.70","","96.1","","100.5",""
"2002年6月","00000","全国","5.5","","10621.84","","96.0","","99.8",""
"2002年7月","00000","全国","5.2","","9877.94","","95.6","","100.1",""
"2002年8月","00000","全国","5.4","","9619.30","","95.9","","100.4",""
"2002年9月","00000","全国","5.4","","9383.29","","95.9","","99.4",""
"2002年10月","00000","全国","5.4","","8640.48","","95.7","","100.2",""
"2002年11月","00000","全国","5.1","","9215.56","","95.7","","100.3",""
"2002年12月","00000","全国","5.0","","8578.95","","95.7","","99.3",""
"2003年1月","00000","全国","5.4","","8339.94","","95.4","","99.9",""
"2003年2月","00000","全国","5.3","","8363.04","","95.1","","100.3",""
"2003年3月","00000","全国","5.8","","7972.71","","95.4","","100.0",""
"2003年4月","00000","全国","5.8","","7831.42","","95.7","","99.9",""
"2003年5月","00000","全国","5.6","","8424.51","","95.9","","101.0",""
"2003年6月","00000","全国","5.3","","9083.11","","95.6","","101.6",""
"2003年7月","00000","全国","5.1","","9563.21","","95.4","","102.7",""
"2003年8月","00000","全国","5.0","","10343.55","","95.6","","102.6",""
"2003年9月","00000","全国","5.2","","10219.05","","95.7","","104.8",""
"2003年10月","00000","全国","5.1","","10559.59","","95.7","","106.7",""
"2003年11月","00000","全国","5.0","","10100.57","","95.2","","105.0",""
"2003年12月","00000","全国","4.5","","10676.64","","95.3","","106.2",""
"2004年1月","00000","全国","4.9","","10783.61","","95.1","","107.9",""
"2004年2月","00000","全国","5.0","","11041.92","","95.1","","108.0",""
"2004年3月","00000","全国","5.0","","11715.39","","95.3","","109.9",""
"2004年4月","00000","全国","5.0","","11761.79","","95.3","","110.5",""
"2004年5月","00000","全国","4.8","","11236.37","","95.4","","111.5",""
"2004年6月","00000","全国","4.6","","11858.87","","95.6","","110.9",""
"2004年7月","00000","全国","4.8","","11325.78","","95.3","","113.0",""
"2004年8月","00000","全国","4.7","","11081.79","","95.4","","112.0",""
"2004年9月","00000","全国","4.6","","10823.57","","95.7","","112.3",""
"2004年10月","00000","全国","4.7","","10771.42","","96.2","","112.6",""
"2004年11月","00000","全国","4.4","","10899.25","","96.0","","112.7",""
"2004年12月","00000","全国","4.1","","11488.76","","95.5","","113.2",""
"2005年1月","00000","全国","4.5","","11387.59","","95.3","","112.7",""
"2005年2月","00000","全国","4.7","","11740.60","","95.0","","112.1",""
"2005年3月","00000","全国","4.8","","11668.95","","95.3","","113.5",""
"2005年4月","00000","全国","4.7","","11008.90","","95.4","","114.0",""
"2005年5月","00000","全国","4.6","","11276.59","","95.5","","112.9",""
"2005年6月","00000","全国","4.2","","11584.01","","95.1","","113.2",""
"2005年7月","00000","全国","4.3","","11899.60","","95.0","","114.3",""
"2005年8月","00000","全国","4.2","","12413.60","","95.1","","114.9",""
"2005年9月","00000","全国","4.2","","13574.30","","95.4","","114.4",""
"2005年10月","00000","全国","4.5","","13606.50","","95.4","","116.1",""
"2005年11月","00000","全国","4.4","","14872.15","","95.0","","117.4",""
"2005年12月","00000","全国","4.0","","16111.43","","95.1","","117.4",""
"2006年1月","00000","全国","4.5","","16649.82","","95.2","","118.1",""
"2006年2月","00000","全国","4.2","","16205.43","","94.9","","118.9",""
"2006年3月","00000","全国","4.4","","17059.66","","95.1","","117.0",""
"2006年4月","00000","全国","4.3","","16906.23","","95.3","","119.1",""
"2006年5月","00000","全国","4.1","","15467.33","","95.6","","118.7",""
"2006年6月","00000","全国","4.1","","15505.18","","95.6","","117.0",""
"2006年7月","00000","全国","4.0","","15456.81","","95.3","","116.2",""
"2006年8月","00000","全国","4.1","","16140.76","","96.0","","118.0",""
"2006年9月","00000","全国","4.2","","16127.58","","96.0","","116.8",""
"2006年10月","00000","全国","4.2","","16399.39","","95.8","","117.1",""
"2006年11月","00000","全国","3.9","","16274.33","","95.3","","118.0",""
"2006年12月","00000","全国","3.7","","17225.83","","95.4","","117.8",""
"2007年1月","00000","全国","4.0","","17383.42","","95.2","","117.7",""
"2007年2月","00000","全国","4.1","","17604.12","","94.7","","118.4",""
"2007年3月","00000","全国","4.2","","17287.65","","95.0","","117.6",""
"2007年4月","00000","全国","4.0","","17400.41","","95.3","","118.0",""
"2007年5月","00000","全国","3.8","","17875.75","","95.6","","117.5",""
"2007年6月","00000","全国","3.6","","18138.36","","95.4","","116.9",""
"2007年7月","00000","全国","3.5","","17248.89","","95.3","","116.9",""
"2007年8月","00000","全国","3.7","","16569.09","","95.8","","114.7",""
"2007年9月","00000","全国","4.0","","16785.69","","95.8","","113.7",""
"2007年10月","00000","全国","4.0","","16737.63","","96.0","","115.7",""
"2007年11月","00000","全国","3.7","","15680.67","","95.9","","113.9",""
"2007年12月","00000","全国","3.5","","15307.78","","96.0","","113.3",""
"2008年1月","00000","全国","3.9","","13592.47","","95.9","","113.4",""
"2008年2月","00000","全国","4.1","","13603.02","","95.7","","113.7",""
"2008年3月","00000","全国","4.1","","12525.54","","96.1","","111.3",""
"2008年4月","00000","全国","4.1","","13849.99","","96.0","","111.6",""
"2008年5月","00000","全国","4.0","","14338.54","","96.8","","111.1",""
"2008年6月","00000","全国","3.9","","13481.38","","97.3","","109.8",""
"2008年7月","00000","全国","3.8","","13376.81","","97.5","","108.9",""
"2008年8月","00000","全国","4.1","","13072.87","","97.8","","106.9",""
"2008年9月","00000","全国","4.1","","11259.86","","97.8","","105.6",""
"2008年10月","00000","全国","3.8","","8576.98","","97.7","","99.9",""
"2008年11月","00000","全国","3.9","","8512.27","","96.8","","94.1",""
"2008年12月","00000","全国","4.1","","8859.56","","96.4","","90.6",""
"2009年1月","00000","全国","4.2","","7994.05","","95.9","","84.7",""
"2009年2月","00000","全国","4.6","","7568.42","","95.6","","82.0",""
"2009年3月","00000","全国","5.1","","8109.53","","95.9","","83.6",""
"2009年4月","00000","全国","5.2","","8828.26","","96.0","","87.4",""
"2009年5月","00000","全国","5.2","","9522.50","","95.8","","89.9",""
"2009年6月","00000","全国","5.2","","9958.44","","95.6","","93.5",""
"2009年7月","00000","全国","5.4","","10356.83","","95.3","","95.4",""
"2009年8月","00000","全国","5.4","","10492.53","","95.6","","97.2",""
"2009年9月","00000","全国","5.5","","10133.23","","95.6","","99.8",""
